No. of Elements (n),No. of Comparisions(count),n*n,n*log(n)
50,243,2500,282.1928095
100,628,10000,664.385619
150,1187,22500,1084.322804
200,1506,40000,1528.771238
250,2011,62500,1991.446071
300,2598,90000,2468.645607
350,3149,122500,2957.923889
400,3908,160000,3457.542476
450,4203,202500,3966.201536
500,4947,250000,4482.892142
550,5294,302500,5006.808295
600,5581,360000,5537.291214
650,6695,422500,6073.79234
700,7174,490000,6615.847778
750,7307,562500,7163.060089
800,8371,640000,7715.084952
850,8529,722500,8271.621176
900,8941,810000,8832.403072
950,9686,902500,9397.194518
